merchant_id,shop_name,shop_type,address,taste_score,env_score,sever_score,avg_score,price,wgs84_lon,wgs84_lat,contact_phone,business_hours,status
60000001,孙记肉夹馍,小吃快餐,和燕路191号,4.3,4.1,4.2,4.3,11,118.7944489,32.09843464,18325788717,10:00-22:30,1
60000002,扬州包子,小吃快餐,华电路1-15号,3.7,3.6,3.6,3.7,5,118.8104734,32.10512144,13815425556,07:30-19:00,1
60000003,陈三早点美食,小吃快餐,十字街与和燕路交叉口东南40米,3.5,3.5,3.5,3.5,,118.7994228,32.10118328,,06:30-20:30,1
60000004,蟹黄汤包,小吃快餐,红景路与十字街交叉口西南20米,,,,,34,118.8012213,32.10000707,13776672247,10:30-20:00,1
60000005,港式鸡蛋仔杂粮煎饼,小吃快餐,锁金村街道红森宾馆第二号门,,,,,,118.8027378,32.09472457,,08:00-21:00,1
60000006,金陵大包,小吃快餐,华电路1号华电路83-3号,3.4,3.4,3.4,3.4,31,118.8097952,32.1026567,15161454062,07:00-18:30,1
60000007,启明大饼,小吃快餐,和燕路与燕亭路交叉口北50米,,,,,,118.7949698,32.09880954,,11:00-21:00,1
60000008,南京传统油条乌蒸饭,小吃快餐,华电路1号第21间门面房,3.8,3.8,3.8,3.8,16,118.8103351,32.10512319,17205141916,11:30-21:30,1
60000009,爱生便当,小吃快餐,红山路88号玄武常发广场,,,,,,118.8051311,32.08769225,,07:00-20:00,1
60000010,全心贝爱鲜制宝宝膳食,小吃快餐,常发广场(红山路)三楼,3.4,3.5,3.6,3.5,37,118.8056592,32.08779521,18761610912,05:30-14:00,1
60000011,老潼关肉夹馍,小吃快餐,和燕路103号老南京私房菜隔壁,3.8,3.7,3.9,3.8,10,118.7937677,32.09823754,,09:00-20:30,1
60000012,吉品合烤饼,小吃快餐,红山路88号3幢105室,3.7,3.8,3.8,3.8,18,118.8064167,32.08787956,15950574043,08:00-21:00,1
60000013,红山美食汇,小吃快餐,红山路186-6号,3.5,3.7,3.6,3.5,16,118.8043398,32.09612864,15850562064,11:00-20:30,1
60000014,来碗撒汤胡辣汤,小吃快餐,迈皋桥街道十字街70号2号小区,3.7,3.7,3.7,3.7,,118.8031161,32.09929617,18860845825,08:30-21:00,1
60000015,中国兰州牛肉拉面,小吃快餐,红山路十字街70号,3.6,3.6,3.6,3.6,19,118.803576,32.09902391,13993088743,07:30-20:30,1
60000016,沈氏牛肉汤,小吃快餐,燕亭路小市村东3门旁,3.9,3.8,3.8,3.8,16,118.7946382,32.09916809,18751866746,08:00-19:30,1
60000017,铁板鱿鱼臭豆腐,小吃快餐,燕亭路东井村3号小区,3.6,3.5,3.6,3.6,20,118.7949057,32.09891446,15000823038,06:30-17:00,1
